Family,FHC633,FHC636,FHC644,FHC649,FHC659,FHC671,FHC680,FHC705,FHC712,FHC724,FM106,FM130,FM14,FM174,FM195,FM245,FM321,FM332,FM359,FM373,FM376,FM380,FM382,FM383,FM386,FM403,FM405,FM44,FM506,FM55,FM589,FM594,FM6,FM608,FM610,FM62,FM63,FM65,FM72,FM73
gb|NP_359110_1|ARO_3003042|Streptococcus,0,0,13.80057402,0.721020977,3.356963672,0,0.416568419,40.91100501,40.60836789,0,0,69.13721667,9.566973025,0,0,1.135882203,0,0,0,1.073896447,1.500116529,61.2868019,16.18918247,2.30516595,2.437227658,0,0,0,1.20367367,9.549348444,0,0,0,76.89722505,11.93792342,27.60567942,8.324023188,0,2.876762377,9.617876792
gb|CAD09823_1|ARO_3003479|tetR,0,20.66119058,19.89271931,2.54477992,6.363912174,13.32944983,0,24.98381985,36.09632701,2.89571197,4.970389377,2.703480887,2.744205061,0,0,0,0,20.55166822,0,0,78.00605951,18.90542769,10.27884601,13.573566,0,0,0,0,0,51.15722381,2.978698088,0,0,41.95586022,24.89846225,0,2.481722261,1.967354096,0,0
gb|CAA52904_1|ARO_3002688|catS,0,0,0,67.98197785,0,0,0,0,0,0,0,0,2.43288768,0,0,0,0,37.43339569,0,0,87.43536341,0,46.80545952,0,63.13580219,0,0,0,0,53.83688791,16.27645741,0,0,0,0,0,0,0,0,5.209896085
gb|AAY32951_1|ARO_3002837|lnuC,8.624219028,2.567204411,6.951712334,3.233815014,1.672905484,3.45829476,8.718873886,16.2270325,7.505986454,2.029884471,9.895368221,1.89513112,50.49656406,12.02273976,16.54836905,7.1322836,29.77714999,2.829268279,2.08309936,10.06108963,5.422348118,0.174376868,3.483196988,3.60836979,7.433139502,13.45098356,7.49218457,0.24549697,11.43689932,23.69208305,8.51675097,7.52720831,27.94607568,13.55115045,0.979335576,1.666770336,6.58592787,3.000051595,4.30080754,2.302047107
gb|BAE77933_1|ARO_3000518|CRP,0,10.64364363,15.37164674,1.310947231,6.103570313,1.931255515,0,0,0,3.085834473,0,64.82209854,0,0,0,0,0.933346053,0,0,7.810155977,9.273447634,66.80219305,0,7.595239909,34.3181349,0,2.440635883,6.269843826,21.88497581,2.196143446,0,56.54127597,0,6.07883202,0,0,6.800563598,1.520228165,0,5.525647363
gb|YP_007503840_1|ARO_3000165|tet(A),0,11.41820582,14.87320968,4.431261235,6.8468764,11.40533918,0,31.4638877,22.80658645,6.861653387,2.912572866,2.190789296,4.777921083,0,0,0,0.290569998,8.075254543,0,0,36.50472248,13.61252236,4.855564651,12.60686991,0,0,0,0,4.109577669,41.7696391,1.985234578,0,0,48.17474376,18.5473892,0,3.026587463,2.00522945,2.053134864,2.409401088
gb|AJD73064_1|ARO_3001301|RlmA(II),2.773386675,8.722465956,6.164670828,1.802552443,3.263714681,0.578303735,3.818543841,64.35762595,8.367784898,37.33859713,0.880173119,6.694682288,0.70959224,0,0,5.206126764,0,0,0,0,1.416776722,17.49581246,34.09257665,2.3870754,3.069101495,1.420612649,2.796561949,0,3.54415025,4.19536603,1.318694466,0,0.740994431,13.00194627,16.37666713,12.19404548,9.870262444,0.232257081,12.94543069,13.55441298
gb|AFC91828_1|ARO_3003041|Streptococcus,0,0,0,0,0,0,0,98.01344712,38.62054568,0,0,43.87957439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1597961,0,0,0,0,0,0
gb|CAA67349_1|ARO_3003359|Streptomyces,4.160080012,3.902669331,1.761334522,5.407657329,0,1.770317556,1.388561397,0,2.324384694,0,0,0,32.87777379,10.77037104,0,0,2.566701646,0,6.270129074,5.369482234,2.833553444,0,8.190955416,1.9892295,5.370927617,3.946146248,2.237249559,0,1.337415189,12.2801021,0,3.702107355,45.94165472,0,23.93512889,5.22601949,1.038974994,1.454131288,0,0
gb|CAE51745_1|ARO_3000168|tet(D),2.527643552,0,15.37164674,1.201701629,8.39240918,2.575007354,0,19.30567898,30.42830872,2.8286816,1.604366191,0,2.802440239,0,0,0,0,13.26753265,0,0,28.33553444,14.61675472,5.806246877,5.136744531,0,0,0,0,7.294991938,0,0,0,0,10.15703578,11.48120773,0,3.116924982,1.013485443,4.794603961,2.0260707
gb|CAC41371_1|ARO_3000196|tet32,1.664032005,3.563306781,2.113601427,18.21361686,1.70280766,2.678567432,3.803450782,0,7.155062449,1.771000654,2.112415485,6.613732952,4.319257114,4.495459215,1.019142523,1.135882203,11.96306158,0,4.657161087,10.36543527,8.648497902,1.749581246,0.854708391,12.40241349,2.081651449,5.970690844,0.700356384,0.257024654,6.035812895,0.672210864,2.559413955,14.48650704,7.938305555,2.228905074,5.915317894,0,2.601954768,8.337019387,4.502758502,8.16594582
gb|CAA38525_1|ARO_3002535|AAC(3)-IIc,0,3.837624843,0,15.90251822,45.25684358,0,0,12.28949472,68.18195102,0,0,0,1.797633675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08084298,0,0,0,0,0,0
gb|ACA23185_1|ARO_3000194|tetW,1.331225604,0.93664064,0,0,0,0,1.333018941,0,2.231409306,0,5.069797165,1.901448224,27.47541154,3.446518732,1.562685203,3.63482305,13.96285695,1.746891799,8.360172098,5.154702945,6.800528265,0,0,0.31827672,6.62925923,0.947075099,5.369398942,18.12880558,0,5.411297452,0.506378675,0,19.44369387,0,0,3.344652473,0,0,6.904229704,1.945027872
gb|AAN28721_1|ARO_3002871|tet37,0,0,0,0,0,1.888338726,3.332547352,0,3.71901551,0,0,0,2.270695168,0,46.88055608,0,0,0,0,0,2.266842755,0,0,0,0,0,17.89799647,0,9.629389359,0,0,0,46.63324952,0,0,0,0,0,0,0
gb|WP_014550864_1|ARO_3003953|hmrM,0.825139837,0,0,0,0,0,1.239377114,0,0,1.68318244,0,14.14300332,0,0,0,0,0,0,0,0,0,36.43755984,0,1.768204,19.17554323,0,0,2.189469273,1.783220252,0,0,4.405813712,0,0,5.996796102,0,0,0,6.392805281,0
gb|ABK33456_1|ARO_3002639|APH(3__)-Ib,0,0,0,0,0,0,0,40.17668328,46.36205146,3.993432848,3.425538625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.021789178,0,0,0
gb|AGV10830_1|ARO_3002647|APH(3_)-IIIa,0,0,0,0,0.129863198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183844379,0,1.394205177,0,0.106854598,0,0,77.06762442,0,0,0.220377566,0,0,0,0,0,0.144692843,0,0,0
gb|AAC23556_1|ARO_3002660|APH(6)-Id,0,0,0,0,0.576302776,0.273525459,0,27.34280714,26.93492993,1.311148553,2.719848264,0,0.109636569,0,1.006020517,0,0,0,0,0,0,0.225267972,0,0,0,0,0,0,0,0,0,0,0,11.76632292,0,0,1.926339903,0,3.703985893,0
gb|AAB53445_1|ARO_3002897|SAT-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185728921,0,0,0,0,0,0,0,0,0.862251034,0,0.473518516,0,0,72.78510381,0,0,0,0,0,0,0,0,0,0,0,0
gb|NP_863643_1|ARO_3002597|AAC(6_)-Ie-APH(2__)-Ia,0,0,0,0,6.886079327,0,0,10.89038301,10.7971418,0,0,0,3.823109212,0,0,17.39074821,0,0,0,0,0,0,8.455179784,0,0.38099191,0,0,0.815388557,0,0,0,0,1.823986291,3.429084729,0,0,0,0,0,0
gb|AFC91898_1|ARO_3003043|Streptococcus,0,0,0,0,0,0,0,4.163969976,0,0,0,13.98123694,0,0,0,0,0,0,0,0,0,0,3.854567255,0,0,0,0,0,0,1.989447593,0,0,0,28.8446539,11.56000033,0,0,0,0,0
gb|AAB53259_1|ARO_3002671|cat-TC,0,0,0,0,0,0,0,3.33756804,2.324384694,0,0,0,0,0,2.655879456,0,0,0,0,0,0,8.141990649,5.858942227,0,0,0,0,0,0,0,0,0,0,3.847514711,3.734240033,12.45442961,0,0,1.514085461,0
gb|NP_416715_1|ARO_3003952|YojI,1.996838406,0.93664064,0,0,3.133166094,5.665016178,0,0,0,2.715534336,3.379864777,0,0,0,0,1.363058644,0,0,0,0,0,2.799329994,0,3.1827672,0,0,0,0.591156704,0,0,0.705313154,0,0,3.566248118,0,0,2.493539986,4.236369153,0,0.486256968
gb|EEK14408_1|ARO_3003931|Capnocytophaga,1.029298147,0.36210334,0,0,1.491983854,6.052594605,0,0,0,0,0,0,0,0,0,1.811166124,0,0,0,0,0,0,4.012314306,0.2652306,0,0,0,0,0,0.632579875,0.771195264,0,0,0,16.71173296,0,0,1.35827946,0,2.531544008
gb|AAA23033_1|ARO_3000190|tetO,1.174610827,0,0,0,0.789873805,0,4.704772732,2.498381985,0,0,0,0,1.602843648,6.08209188,0,0,0,0,1.84415561,1.516089101,1.200093223,4.939994108,0,0,0,0,0,0,1.132869336,0.852620397,0.893609426,0,3.347551311,0,0,0,3.520291745,0,0,0
gb|YP_008997285_1|ARO_3000615|mefA,0,0,0,3.004254072,0,0,2.040335113,0,0,0,0,1.980675233,0,0,0,0,0,0,4.354256301,0,0,0,14.56169852,0,1.534550748,0,0,0,0,0,0,0,0,0,0,0,0,0,3.522566175,4.558659074
gb|AET10444_1|ARO_3004032|tetA(46),1.097163959,0,0,0,0,0,1.544579531,0,3.719474705,0,0.712050164,2.716473827,3.009918733,0.726092429,0.915635861,0,0.962513117,0,10.79293337,0,0.573078225,0,0,0,0,0,0,0,0,0,0,0,5.427784206,0,0,0,1.662565246,0,0,0
gb|CAA64891_1|ARO_3000812|mtrE,0,0,0,0,0,0,0,32.17613163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|CAJ67339_1|ARO_3000186|tetM,10.12889046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47738854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AET10445_1|ARO_3004033|tetB(46),0.517315649,0,6.198437345,0,0,0,0.710761395,0,2.911412927,0,0,2.927388421,3.373688288,0,0.887690629,0,0.719595299,0,6.311359331,0.547919555,0.338896757,0,0,0,0,0.368034365,0.684888819,0,0,0,0,0,3.844655593,0.222150007,0,0,0,0,0,0
gb|AAL59753_1|ARO_3000412|sul2,0,0,0,0,1.999893251,0.361596777,0,2.711010239,0,0,8.774648939,0,0,0,0,0,0,0,0,0,1.416776722,1.786806379,0,0.60946606,0,0.604516021,0,0,0,0,0,0,0,0,1.543856018,0,0.318324254,0.257269382,3.983209444,1.683197197
gb|NP_273368_1|ARO_3003962|farB,0,0,0,0,0,0,0,25.36236258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAA22851_1|ARO_3000179|tet(L),0,5.321821816,0,0.655473616,0,0,0,0,15.49589796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992843081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|ANZ79241_1|ARO_3004036|tetB(60),0.204594099,0.146962443,0.265305618,0.267804965,0.415619688,0.222215593,0.209155692,0.888545894,0.350116523,3.151926236,1.977808586,0.292230772,0.356280623,0,0,0.42481636,0,0,0.655871242,0,0.426811397,0,2.770957687,0.418339917,0.11557286,0.222899474,0.168495783,0.952129662,0.197323552,0.105510239,0.197003673,0,1.857187496,0.274045706,0.282684085,0,1.924159739,0,0.36109988,0.675715911
gb|NP_274718_1|ARO_3000811|mtrD,0,0,0,0,0,0,0,20.64635113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|BAA37152_1|ARO_3003702|Pseudomonas,0,0,0,0,1.342785469,0.849752427,0,0,2.231409306,0,0.844966194,0,0,0,0,0,0,0,0,0,1.360105653,0,8.300168155,0,0,0,0,0,0,0,0,0,0.474236436,0,0.60467694,0,1.994831989,1.114833988,0,0
gb|AET15272_1|ARO_3003197|aadA25,0,0,0,10.21446384,3.263714681,0,0.347140349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.365159236,0,0,0,0,0,0,0,1.054955573,0,0,0,0,0,0,0,0,0
gb|BAG33043_1|ARO_3003920|pgpB,1.451659584,0,0,0.559111582,0,0.755030428,0.161512796,0,0,2.961204648,1.433302914,0.230385488,0,0.417591123,0,0.88081334,1.293717146,0.846635767,0,0.624560131,0,0.339175686,0,0,0,0,0,0,0.777818203,0.444905312,0,0.430616687,0,0,0,0,0.24170016,0,0,2.356657357
gb|AAV85982_1|ARO_3000535|macB,0,0,0,0,0,0,0,14.74739366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAU10334_1|ARO_3002628|aad(6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74857544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AEJ33969_1|ARO_3000410|sul1,0,0,0,6.89697152,0,0,0,0,0,0,0,0,0.135160427,0,0,0,0,0,0,0,0,0,4.080475958,0,0,0,0,0,0,0,0.506378675,0,0,0,0,0,0,0,0,0
gb|ANZ79240_1|ARO_3004035|tetA(60),0,0,0,0,0,0,0,0,0,0,0,1.677748433,0,0,0,0,0,0,5.53246683,0,0,0,0.910106157,0.33153825,0,0,0,0,0,0,0,0,2.258268742,0,0,0,0,0,0,0
gb|NP_273367_1|ARO_3003961|farA,0,0,0,0,0,0,0,10.55721642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|BAA16547_1|ARO_3000027|emrA,0,0,0,0,0,0,0,0,0,7.833272124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.744260405,0,0,0,0,0
gb|AAO16462_1|ARO_3000167|tet(C),0,0,0,0,0,0,0,0,0,7.998628384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751943765
gb|YP_207769_1|ARO_3003928|Neisseria,0,0,0,0,0,0,0,0,0,0,8.449661942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|YP_208330_1|ARO_3003929|Neisseria,0,0,0,0,0,0,0,3.351350651,0,0,1.111797624,0,0,0,0,0,0,0,0,0,1.789612701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAP69916_1|ARO_3001780|OXA-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717399286,0,0,0,0,0,0,0,0,0,0,0,5.072054558,0,0,0,0,0,0,0,0,0,0,0,0
gb|CCP46624_1|ARO_3003326|Mycobacterium_gb|AAK48268_1|ARO_3003465|Mycobacterium,0.665612802,0.46832032,0,0,0,0,0,0,0,0,1.689932388,0,0,0,0,0.908705762,0,0,0,0,0,0,0.873701911,0,0,0,0,0,0,0.193260623,0,0,0,0,0,0.836163118,0,0,0,0
gb|AAN82549_1|ARO_3003369|Escherichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.524382692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|NP_415222_1|ARO_3003841|kdpE,0,0,0,0,0,0,0,5.056249256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAX14803_1|ARO_3000782|adeK,0,0.532182182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.038662569,0,0,0,0,0,0,0,0
gb|AAA26412_1|ARO_3002642|APH(3_)-Ib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.485512943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|YP_008997281_1|ARO_3002626|ANT(6)-Ia,0,0,0,0,0,0,0,0,0,0,0,1.229384627,0,0,0,0,2.124166879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAA26793|ARO_3003748|oleC,0,0,0,0,0,0.566501618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699832499,0,0,0,0,0,0,0.641959291,0.193260623,0,0,0,0,0,0,0,0,0,0.243128484
gb|ABG77965_1|ARO_3004042|Enterobacter,0,0,0,0,0,0,0,0,2.324384694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAC75314_1|ARO_3003578|PmrF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237118218,1.783124059,0,0,0,0,0,0
gb|YP_003281576_1|ARO_3000815|mgrA,0,0,0,0,0,0,0,0,0,1.119038875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780556401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAX14802_1|ARO_3000781|adeJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.898920031,0,0,0,0,0,0,0,0,0
gb|AFH35853_1|ARO_3001328|mdfA,0,0,0,0,0,0,0,0,0,1.786535748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|ACG70184_1|ARO_3002788|QnrD1,0,0,0,0,0,0,0,0,0,1.616389486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|WP_002530866_1|ARO_3003974|Propionibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.536796342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|NP_417969_1|ARO_3003834|gadE,0,0,0,0,0,0,0,0,0,1.289019463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|YP_491919_1|ARO_3000508|gadX,0.792396193,0,0.259869028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|BAA11236_1|ARO_3000206|emrK,0,0,0,0,0,0,0,0,0,0.953934779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|NP_460903_1|ARO_3000826|sdiA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910106157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|ACL82960_1|ARO_3002947|vanHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809835188,0,0,0,0,0
gb|AAC75315_1|ARO_3002985|arnA,0,0,0,0,0,0,0,0,0,0.783327212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|ACN32294_1|ARO_3000237|tolC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759854003,0,0,0,0,0,0
gb|CAA37052_1|ARO_3002995|ROB-1,0,0,0,0,0,0,0,0,0.347932844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179423849,0
gb|YP_002002225_1|ARO_3000817|mtrR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3978459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|YP_489201_1|ARO_3003390|Escherichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394104469,0,0,0,0,0,0,0,0,0,0,0,0
gb|NP_251858_1|ARO_3003684|Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386521247,0,0,0,0,0,0,0,0,0,0
gb|AAA03550_1|ARO_3002523|AAC(2_)-Ia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361981951,0,0,0,0,0,0,0,0,0,0,0,0,0
gb|BAE78116_1|ARO_3003576|PmrC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35992675,0,0,0,0,0
gb|CAL44992_1|ARO_3002835|lnuA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311997655,0,0,0,0,0,0,0
gb|ABF33001_1|ARO_3003969|lmrP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307894116,0,0,0,0,0,0,0,0,0,0,0,0
gb|AAA25293_1|ARO_3000192|tetS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298360332,0,0,0,0,0
